vehicle_number,leave_time,train,route_number,direction,service_key,trip_number,stop_time,arrive_time,dwell,location_id,door,lift,ons,offs,estimated_load,maximum_speed,train_mileage,pattern_distance,location_distance,x_coordinate,y_coordinate,data_source,schedule_status
3649,63075,4774,47,1,W,1300,63060,63075,0,2672,2,0,1,0,1,0,8.68,0,0,7565354.51,686009.69,2,5
3649,67004,4774,47,0,W,1330,66960,67004,0,4429,2,0,1,0,1,1,23.08,0,0,7597911.08,701264.31,2,3
3649,68781,4774,47,1,W,1350,68760,68781,0,9923,2,0,2,0,2,0,32.44,0,0,7582990.76,688735.69,2,5
3649,71356,4774,47,0,W,1370,71340,71356,0,13700,2,0,1,0,1,0,41.82,0,0,7598135.95,701164.73,2,5
3649,74665,4774,47,1,W,1390,74640,74665,0,2672,2,0,1,0,1,0,55.76,0,0,7565350.75,686004.34,2,5
3935,16828,7335,73,1,W,1020,16800,16828,0,14002,0,0,0,0,0,0,2.46,0,0,7671095.72,667820.06,2,5
3935,19439,7335,73,0,W,1020,19440,19439,0,10850,2,0,2,0,2,0,11.41,0,0,7673254.74,696501.24,2,5
3935,21662,7335,73,1,W,1060,21660,21662,0,14002,2,0,0,0,0,0,20.05,0,0,7671799.37,667744.41,2,5
3935,25127,7335,73,0,W,1080,25140,25127,0,10850,2,0,2,0,2,0,29.14,0,0,7673211.63,696448.73,2,5
3935,27946,7335,73,1,W,1130,27960,27946,0,14002,2,0,1,0,1,0,37.79,0,0,7671798.15,667746.99,2,5
3935,32168,7335,73,0,W,1170,32160,32168,0,10850,2,0,2,0,2,0,46.9,0,0,7673253.22,696492.16,2,5
3935,35143,7335,73,1,W,1210,35160,35143,0,14002,0,0,0,0,0,0,55.54,0,0,7671628.32,667787.81,2,5
3935,39242,7335,73,0,W,1250,39240,39242,0,10850,2,0,2,0,2,0,64.62,0,0,7673283.3,696536.25,2,5
3935,42351,7335,73,1,W,1290,42360,42351,0,14002,0,0,0,0,0,0,73.28,0,0,7671585.96,667807.13,2,5
3935,46616,7335,73,0,W,1330,46620,46616,0,10850,2,0,1,0,1,0,82.35,0,0,7673253.9,696498.71,2,5
3935,49508,7335,73,1,W,1370,49560,49508,0,14002,2,0,0,0,0,0,90.97,0,0,7671799.3,667741.49,2,5
3935,53612,7335,73,0,W,1400,53460,53612,0,10850,2,0,5,0,5,0,100.1,0,0,7673323.67,696591.75,2,5
3935,56784,7335,73,1,W,1450,56760,56784,0,14002,2,0,1,0,1,0,108.73,0,0,7671797.94,667748.82,2,5
3935,60853,7335,73,0,W,1480,60840,60853,0,10850,2,0,8,0,8,0,117.84,0,0,7673181.79,696403.9,2,5
